url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fa3ffa72350>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,,,,
sanjosebengalcats.com,success,,"['bengal kittens for sale san jose', 'bengal cats for sale san jose', 'bengal cat breeders near me', 'buy bengal cats online', 'exotic feline companions']",San Jose Bengal Cats,"Bengal kittens for Sale, Bengal Adults for Sale","Individuals and families seeking exotic feline companions known for their intelligence, playfulness, and affectionate nature.","San Jose, California, United States",[],['rene@sanjosebengalcats.com'],[],[],False,0.0
peachmarketplace.com,success,,"['leopard pumpkin shirt', 'fall essential long sleeve', 'ghosts and cats t-shirt', 'halloween shirt', 'peach marketplace clothing']",Peach Marketplace,"Graphic Tees, Embroidery Accessories, Tops and Dresses",Individuals and families seeking Halloween-themed clothing and accessories.,United States,[],[],[],[],True,0.0
peachmcintyre.com,success,,"['social media content creator course', 'how to make money on social media', 'turn internet into income online course', 'peach mcintyre social media training', 'big bag big bank social media']",PEACH MCINTYRE INC.,SOCIAL MEDIA CONTENT CREATOR A BIG BAG A BIG BANK,Individuals and businesses looking to monetize their social media presence and turn the internet into income.,United States,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],[],True,0.0
peachmedical.com,success,,"['point of care covid testing kits', 'b2b e-commerce medical supplies', 'at home antigen test kits', 'rapid diagnostic tests for clinical decision making', 'peach medical b2b fulfillment technology']",Peach Medical,"Bulk & Wholesale, Over The Counter Antigen Test Kits, Point Of Care Testing Products (POCT)","Healthcare providers seeking rapid diagnostic tests for quick clinical decision-making, individuals and families looking for at-home testing kits.",United States,[],[],[],[],True,0.0
peachmeleggings.com,success,,"['peach me leggings australia', 'peach me leggings review', 'peach me workout clothes', 'peach me legging sets', 'peach me activewear usa']",Peach Me,"Leggings, Shorts, Flare Pants, Skirts, Bras, Tops, Pullover/Jackets, Long Sleeve, Short Sleeve, Tank Top, One Pieces",Women seeking stylish and comfortable activewear for workouts and daily wear.,United States,[],[],[],[],True,0.0
peachmode.com,success,,"['sarees online india', 'buy cotton sarees online', 'floral print sarees', 'banarasi silk sarees online', 'kurtis online shopping']",Peachmode,"Sarees, Salwar Suits, Kurtis, Tops & Tunics","Women looking for ethnic wear, party wear and casual kurtis in India and worldwide.",India,[],[],[],[],True,0.0
peachmodern.com,success,,"['pair of silver plated footed candy dishes', 'vintage aluminum fish sculpture by Georges Braque', 'vintage lucite brass Hollywood regency bookends', ""ram's horn candle holders for sale"", 'unique handmade modern wood humidor']",Peach Modern,"Furniture, art and collectibles","Individuals and families seeking high-end home decor items such as furniture, art and collectibles",United States,[],[],[],[],False,0.0
peachmountain.com,success,,"['world war ii aircraft photos', 'tanks world war i history', 'fortifications military history essays', 'tank museums saumur france', 'warships battleship photography']",Peachmountain.com,"History, Photos of Tanks, Fortifications, Ships and Planes, Books, Games, Essays and Travel","Military history enthusiasts, photographers interested in military equipment, educational institutions teaching military history courses",United States,[],['info@usaww1.com'],[],[],False,0.0
peachofmind.com,success,,"['cute halloween costumes for babies', 'halloween decorations on a budget', 'winnie the pooh baby shower decorations', 'easy ways to roast broccoli', 'patterned palazzo pants']",,,"Parents looking for Halloween costume ideas, budget-friendly holiday decor, themed baby showers, tasty recipes and stylish clothing.",United States,[],[],[],[],False,0.0
