url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f93c0269030>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,,,,
sanjosebengalcats.com,success,,"['Bengal cat breeders near me', 'Exotic feline companions for sale', 'San Jose Bengal Cats kittens for sale', 'Bengal kitten prices and pricing', 'Family-friendly Bengal cats and dogs']",o,"Bengal kittens, Bengal adults, vaccinations, dewormings, genetic health guarantees, pedigree paperwork, and stud services","Individuals and families seeking a unique and exotic feline companion with high intelligence, playfulness, affectionate nature, and loyal personalities.",United States,[],['rene@sanjosebengalcats.com'],[],[],N,6630.0
peachmarketplace.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmcintyre.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmedical.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmeleggings.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmode.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmodern.com,success,,"['unique collection of furniture', 'modern art collectibles for sale', 'vintage jewelry and watches', 'mid century modern decor items', 'hollywood regency bookends']",o,"Furniture, Art, Collectibles",Individuals and families seeking unique home decor items and collectibles for their living spaces.,United States,[],[],[],[],N,434.0
peachmountain.com,success,,"['World War I aircraft', 'World War II aircraft', 'Cold War tanks', 'Tank museums in Europe', 'History of World War I naval warfare']",o,"Tanks, Aircraft, Fortifications, Ships, Books, Games, Essays, Travel","Individuals and families interested in military history, specifically World War I, II, and Cold War enthusiasts, with a focus on those living in North America and Europe.","France, United Kingdom, Canada",[],['info@usaww1.com'],[],[],N,344.0
peachofmind.com,success,,"['Cute Halloween Costumes for Newborns', 'Halloween Decorations on a Budget', 'Winnie the Pooh Baby Shower Decorations', 'Easy Ways to Roast Broccoli', 'Lemon Clothing for Summer']",o,"Baby costumes, Halloween decorations, baby shower decorations, melamine dinnerware, summer clothing","Individuals and families seeking lifestyle content, particularly those interested in home decor, parenting, and fashion.",United States,[],[],[],[],N,2240.0
peachonaleash.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachorchardapartments.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpaperdesign.com,success,,"['Custom wedding invitation design services', 'Small business branding services for entrepreneurs', 'Unique wedding stationery designs', 'Wedding planning and stationery coordination', 'Branding solutions for creative businesses']",o,"custom stationery branding, shop rentals, custom stationery branding services","Individuals and families seeking unique wedding invitation design services, small business owners looking for branding solutions, and creative entrepreneurs who need help following their dreams with modern branding.",United States,[],[],[],[],N,156.0
peachperfectskincare.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpitgym.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpitmusic.com,success,,"['bengal cats for sale', 'adopt a bengal cat', 'buy bengal kittens online', 'rehome bengal adult cats', 'bengal breeders near me']",o,"Music, Merchandise, Touring","Individual music fans and families seeking unique pet experiences, aged 18-45, with a medium to high disposable income.",United States,[],[],[],[],N,603.0
peachpitpotteryshop.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peach-pump.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachstatebasketball.com,success,,"['Brandon Clay All-American Showcase', 'Brandon Clay Elite 100 Showcase', 'Brandon Clay Spring Showdown', 'Brandon Clay Pre-Season Challenge', 'Brandon Clay May Day Challenge']",o,"Basketball training, scouting, marketing services for high school and collegiate prospects","High school and collegiate female basketball players seeking exposure, training, and recruitment opportunities",United States,[],[],[],[],N,955.0
peachstatecandlesupply.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachstateco.com,success,,"['civil construction services for government agencies', 'civil construction companies in Georgia', 'road construction contractors in the US', 'licensed utility contractors in Covington GA', 'large concrete parking lots for freight companies']",o,"Road construction, Concrete Installation, Civil Site development, Road Construction, Large Concrete Parking lot for a freight company","Government Agencies and Private Companies seeking civil construction services, particularly those with large-scale projects requiring reliability, efficiency, and quality work.","Covington, Georgia",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",[''],[],N,8.0
