url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages,error
sanjosebengalcats.com,success,"['exotic feline companions for sale', 'san jose bengal kittens for adoption', 'healthy well-socialized bengal cats', 'bengal cat breeders in the US', 'buy intelligent playful bengal kittens']",San Jose Bengal Cats,"Bengal kittens, Bengal adult cats, Bengal cats for sale",Prospective exotic pet owners looking for felines,US,[],['rene@sanjosebengalcats.com'],[],"['https://emeraldcityexoticcats.com', 'https://www.njexoticpets.com', 'https://bellehollow.net', 'https://www.kittensup4sale.com', 'https://www.cnmilaw.gov']",No,6980.0,
peachmarketplace.com,success,"['embroidery holiday accessories clearance sale', 'graphic tees and embroidered shirts for fall', 'leopard pumpkin long sleeve shirt with rave reviews', 'halloween themed tops featuring cats, bats, and ghosts', 'stacking bracelets and beaded jewelry for autumn']",Peach Marketplace,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Featured Items, Long Sleeve Shirts, Halloween Shirts, Stacking Bracelets, Beaded Jewelry, Gift Cards",Shoppers seeking trendy fall and Halloween apparel,US,[],[],[],"['https://www.markandgraham.com', 'https://www.dmc.com', 'https://www.embroidery.com', 'https://www.threadart.com', 'https://oesd.com']",Yes,365.0,
peachmcintyre.com,success,"['social media content creation services', 'online income generation strategies', 'digital marketing education resources', 'ecommerce social media strategy guide', 'internet business growth tutorials']",Peach McIntyre Inc.,"Social Media Content Creation, E-Guide, Online Book",Aspiring content creators and digital marketers,US,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],"['https://www.deloittedigital.com', 'https://www.quad.com', 'https://customermagnetism.com', 'https://www.customermagnetism.com', 'https://www.mosaic.com']",Yes,100.0,
peachmedical.com,error,,,,,,,,,,,,"Error scraping https://peachmedical.com: HTTPSConnectionPool(host='peachmedical.com', port=443): Read timed out. (read timeout=10)"
peachmeleggings.com,success,"['peach me leggings for women', 'stretchy comfort leggings sets', 'free shipping leggings USA', 'leggings with pockets styles', 'shop now pay later afterpay']",Peach Me Leggings,"Leggings, Sets, Shorts, Flare Pants, Bottoms, Bras, Tops, Skirts",Women looking for stylish leggings and loungewear,United States,[],[],[],"['https://www.runningbare.com.au', 'https://www.menmoms.in', 'https://www.ebay.com', 'https://peach-pump.com']",Yes,186.0,
peachmode.com,success,"['download Peachmode app for Android and iOS', 'Indian sarees online shopping', 'affordable bridal wear collection', 'festival saree fabric choices', 'customizable salwar suits at budget prices']",Peachmode,"Sarees, Salwar Suits, Kurtis",Women seeking traditional Indian wear,India,[],[],[],"['https://apps.apple.com', 'https://peachmode.en.aptoide.com', 'https://peachmode-online-shopping.en.softonic.com']",Yes,214000.0,
peachmodern.com,success,"['vintage aluminum fish sculpture', 'ram’s horn candle holders', 'mid century modern marble bowl', 'absolut vodka Romero Britto pop art bottle', 'welded iron brutalist blade sculpture']",Peach Modern,"furniture, seating, tables, storage, outdoor lighting, art and wall decor, jewelry and watches",Collectors of vintage and mid-century modern items,US,[],[],[],"['https://tvami.com', 'https://www.riginstitute.com', 'https://www.ebay.com', 'https://in.pinterest.com', 'https://atticogroup.co.uk']",No,490.0,
peachmountain.com,success,"['World War I and II aircraft history', 'tanks from World War I, II, and Cold War', 'fortifications in Saumur, Fort Knox, Aberdeen, Ottawa, Moscow, St. Petersburg', 'tank museums travel guide', 'historical essays on warships and military vehicles']",Peachmountain.com,"History, Photos of Tanks, Fortifications, Ships, Planes, Books, Games, Essays, Travel",Enthusiasts interested in historical military artifacts and history,US,[],['info@usaww1.com'],[],"['https://www.si.edu', 'https://www.britannica.com', 'https://www.afhistory.af.mil', 'https://www.history.navy.mil', 'https://media.defense.gov']",No,344.0,
peachofmind.com,success,"['baby Halloween costumes for newborns', 'affordable Halloween decorations under $30', 'Winnie the Pooh themed baby shower ideas', 'easy ways to roast broccoli recipes', 'summer lemon print clothing']",Peach of Mind,"lifestyle blog posts, baby costumes, Halloween decorations, baby shower decor, cooking tips, summer fashion trends","Parents with infants and young children, budget-conscious holiday decorators, new parents planning baby showers, home cooks seeking recipe inspiration, fashion enthusiasts looking for seasonal clothing",Georgia,[],[],[],"['https://www.lovejac.com', 'https://www.hgtv.com', 'https://www.wsbtv.com', 'https://spearmintlove.com', 'https://littlesecretsclothing.co.uk']",No,2240.0,
peachonaleash.com,success,"['dog training services in Alpharetta Georgia', 'in-home dog training North Atlanta area', 'board and train dog programs Atlanta', 'online group classes for aggressive dogs', 'puppy obedience training services Atlanta']",Peach on a Leash Dog Training and Behavior Services,"In-Home Private Dog Training, Group Classes Online, Board & Train, Puppy Training, Manners & Obedience, Leash Training, Aggression & Reactivity Training, Fearful & Shy Dogs Training, Therapy Dog Training",Dog owners in Atlanta area needing training solutions,"Alpharetta, Georgia",[],['info@peachonaleash.com'],[],"['https://dogtrainingelite.com', 'https://www.atlantadogtrainer.com', 'https://zoomroom.com', 'http://www.adtacademy.com', 'https://www.ruffhousedogresort.com']",N/A,461.0,
