url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fb1949dbd60>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,
sanjosebengalcats.com,error,"Error scraping https://sanjosebengalcats.com: HTTPSConnectionPool(host='sanjosebengalcats.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb194835150>, 'Connection to sanjosebengalcats.com timed out. (connect timeout=10)'))",,,,,,,,
peachmarketplace.com,success,,"['halloween shirts', 'fall clothing sale', 'leopard pumpkin long sleeve shirt', 'halloween hoodies for women', 'ghost coffee halloween sweatshirts']",Peach Marketplace,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Hoodies, Sweatshirts, T-Shirts, Long Sleeve Shirts","Individuals and families seeking casual, comfortable clothing for Halloween and fall seasons; demographics: women, likely aged 25-55, with a focus on those interested in seasonal fashion trends.",United States,[],[],[]
peachmcintyre.com,success,,"['social media content creator course', 'online mentorship program for entrepreneurs', 'content creation for business success', 'turning the internet into income', 'digital marketing training and education']",Peach McIntyre Inc.,"7 Day Content Creator Group Mentorship Program, Online Via Zoom classes, Social Media Content Creator Course, Digital Marketing Training and Education","Entrepreneurs, small business owners, and individuals seeking to monetize their online presence through effective content creation and digital marketing strategies.",United States,[],"['support@peachmcintyre.com', 'Inc.813.797.1396support@peachmcintyre.com']",['']
peachmedical.com,success,,"['COVID-19 test kits', 'rapid antigen testing products', 'point of care diagnostic testing', 'over the counter antigen test kits', 'at-home COVID-19 testing']",Peach Medical,"Lucira Test, BinaxNow 4-Pack Covid19 Antigen Self-Test, QuickVue RSV Test, Indicaid Rapid Covid-19 Antigen Test",Healthcare professionals and individuals seeking rapid diagnostic testing solutions for COVID-19 and other infections.,United States,[],[],[]
peachmeleggings.com,success,,"['leggings', 'free shipping in the US', 'shop now pay later afterpay shops pay', 'peach me leggings', ""women's loungewear""]",Peach Me Leggings,"Leggings, shorts, flare pants, tops, bras, pullover/jacket, long sleeve, short sleeve, tank top, one pieces",Women in the United States seeking affordable and comfortable loungewear options with free shipping and flexible payment plans.,United States,[],[],[]
peachmode.com,success,,"['indian clothing online', 'sarees online shopping', 'salwar suits online', 'kurtis online store', 'traditional indian dresses']",Peachmode,"Sarees, Salwar Suits, Kurtis, Tops & Tunics, Dresses, Co-ords, LUXE Woolen Sale",Women of various age groups and demographics seeking traditional Indian clothing online for various occasions.,"India (INR ₹), Australia (INR ₹), Austria (INR ₹), Belgium (INR ₹), Canada (INR ₹), Czechia (INR ₹), Denmark (INR ₹), Fiji (INR ₹), Finland (INR ₹), France (INR ₹), Germany (INR ₹), Hong Kong SAR (INR ₹), Ireland (INR ₹), Israel (INR ₹), Italy (INR ₹), Japan (INR ₹), Kuwait (INR ₹), Malaysia (INR ₹), Mauritius (INR ₹), Netherlands (INR ₹), New Zealand (INR ₹), Norway (INR ₹), Poland (INR ₹), Portugal (INR ₹), Qatar (INR ₹), Saudi Arabia (INR ₹), Singapore (INR ₹), South Africa (INR ₹), Spain (INR ₹), Sri Lanka (INR ₹), Sweden (INR ₹), Switzerland (INR ₹), Thailand (INR ₹), United Arab Emirates (INR ₹), United Kingdom (INR ₹), United States (INR ₹), Vietnam (INR ₹)",[],[],[]
peachmodern.com,success,,"['modern furniture collection', 'unique art collectibles online shopping', 'vintage designer items for sale', 'mid century modern home decor', 'luxury decorative arts marketplace']",Peach Modern,"Furniture, art, collectibles, vintage items, mid century modern decor","Individuals and households seeking unique, high-end furniture and art pieces for their homes, with a focus on collectors and enthusiasts of luxury decorative arts.",United States,[],[],[]
peachmountain.com,success,,"['World War I aircraft', 'World War II tanks', 'Tank museums', 'Warships and battleships', 'Military history essays']",Peachmountain.com,"Tank museums, World War I and II aircraft, warships and battleships, military history books and games, travel guides to fortifications and historical sites.","Historians, military enthusiasts, educators, and individuals interested in learning about military history and visiting related locations.",United States,[],['info@usaww1.com'],[]
peachofmind.com,success,,"['halloween costumes for babies', 'baby halloween ideas', 'adordable halloween decorations on amazon', 'winne the pooh baby shower theme', 'easy ways to roast broccoli']",Peach of Mind,"lifestyle blog, parenting ideas, baby and kid products, home decor, cooking recipes","individuals and families seeking lifestyle advice on parenting, decorating, and entertaining",Georgia,[],[],[]
