url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages,error
sanjosebengalcats.com,success,"['san jose bengal cats for sale', 'buy healthy bengal kittens', 'bengal cat breeders in US', 'exotic feline companions with pedigree', 'affectionate and intelligent bengal kittens']",o,"Bengal kittens, Bengal adult cats, breeding services",Cat enthusiasts seeking exotic pets,US,[],['rene@sanjosebengalcats.com'],[],"['https://thebengalconnection.com', 'https://www.adoptapet.com', 'https://quality-bengal-kittens.com', 'https://www.mapquest.com', 'https://www.alignable.com']",N,6660.0,
peachmarketplace.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachmcintyre.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachmedical.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachmeleggings.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachmode.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachmodern.com,success,"['unique collection of vintage furniture', 'vintage aluminum on travertine fish sculpture', 'Henning Koppel for Georg Jensen cutting board', 'Absolut Vodka bottle by Romero Britto', 'mid century modern marble bowl']",o,"Furniture, seating, tables, storage, outdoor lighting, art and wall decor, jewelry and watches",Collectors of vintage furniture and art enthusiasts,US,[],[],[],"['https://www.architecturaldigest.com', 'https://uniqueantiquecollection.com', 'https://khojcrafts.com', 'https://cityhomepdx.com', 'https://www.harpersbazaar.com']",N,404.0,
peachmountain.com,success,"['World War I tanks history', 'World War II aircraft collections', 'Cold War fortifications photos', 'military history essays and books', 'tank museums worldwide travel']",o,"History, Photos of Tanks, Fortifications, Ships, Planes, Books, Games, Essays, Travel",Military history enthusiasts and researchers,US,[],['info@usaww1.com'],[],"['://', 'https://armyhistory.org', 'https://guides.loc.gov', 'https://blogs.loc.gov', 'https://www.britannica.com']",N,366.0,
peachofmind.com,success,"['cute Halloween costumes for babies', 'budget-friendly Halloween decorations', 'Winnie the Pooh baby shower ideas', 'ways to roast broccoli recipes', 'summer lemon clothing fashion']",o,"Halloween costumes, Halloween decorations, Baby shower decorations, Broccoli recipes, Summer fashion trends",Parents with babies and toddlers,"Georgia, US",[],[],[],"['https://www.lovejac.com', 'https://www.augustachronicle.com', 'https://www.happiestbaby.com', 'https://www.hgtv.com', 'https://www.target.com']",N,2360.0,
peachonaleash.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachorchardapartments.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachpaperdesign.com,success,"['custom wedding invitation design services', 'small business branding solutions', 'unique graphic design stationery', 'watercolor wedding invitations', 'high-quality personalized stationery']",o,"wedding invitation design, small business branding, custom stationery, print shop 'dibs', wildflower print, 'the best' print, 'home' print, desert sunset print, texas bluebonnet print",thoughtful couples and creative business owners,US,[],[],[],"['https://cardsandpockets.com', 'https://www.trulyengaging.com', 'https://www.valleyandcoastpaperco.com', 'https://www.jagergreen.com', 'https://bespokedesigns.com']",N,195.0,
peachperfectskincare.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachpitgym.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachpitmusic.com,success,"['Peach Pit new album Magpie', 'Peach Pit electronic mailing list', 'Download Peach Pit songs Every Little Thing', 'Peach Pit tour dates 2023', 'Listen to Peach Pit music online']",o,"New album 'Magpie', Songs 'Every Little Thing', 'Did You Love Somebody', 'Magpie'",Music fans interested in indie pop rock,US,[],[],[],"['https://store.peachpitmusic.com', 'https://music.apple.com', 'https://www.peachpitmusic.com', 'https://www.sonymusic.ca', 'https://thegatewayonline.ca']",N,575.0,
peachpitpotteryshop.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peach-pump.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachstatebasketball.com,success,"['Brandon Clay basketball showcases', 'girls basketball tournaments Atlanta', 'high school basketball scouting reports', 'brand marketing for athletes', 'college recruiting player profiles']",o,"basketball showcases, player evaluations, brand marketing, college recruiting",Basketball players and recruiters,US,[],[],[],"['://', 'https://x.com', 'https://brandonclayscouting.com', 'https://247sports.com', 'https://prospectsnation.com']",N,955.0,
peachstatecandlesupply.com,error,,,,,,,,,,,,too many values to unpack (expected 2)
peachstateco.com,success,"['civil construction services in Covington Georgia', 'licensed utility contractor road construction', 'concrete installation and site development', 'road construction and large parking lots', 'high-quality civil site development company']",o,"Road construction, Concrete Installation, Civil Site Development",Government agencies and private companies needing construction services,"Covington, Georgia",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",[''],"['https://www.dnb.com', 'https://www.houzz.com', 'https://gbj.com', 'https://www.steelcobuildings.com', 'https://jacocontracting.com']",N,8.0,
