url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fda2b058ca0>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,,,,
sanjosebengalcats.com,success,,"['bengal kittens for sale san jose', 'exotic bengal cats breeders', 'bengal cat adoption near me', 'buy bengal kitten online', 'san jose bengal cat breeders']",o,"Bengal kittens for sale, Bengal adult cats, Pedigree Paperwork, Health checked by licensed veterinarian","First-time owners and Bengal enthusiasts looking for a unique and affectionate feline companion, typically young adults to middle-aged women and families with children","San Jose, California",[],['rene@sanjosebengalcats.com'],[],[],N,6630.0
peachmarketplace.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmcintyre.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmedical.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmeleggings.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmode.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachmodern.com,success,,"['mid century modern furniture', 'vintage industrial lighting', 'harry berman collectibles', 'luxury home decor items', 'high-end art pieces']",o,"furniture, art, collectibles, unique home decor items",High-income individuals and design enthusiasts seeking luxury home decor and unique art pieces for their homes.,United States,[],[],[],[],N,417.0
peachmountain.com,success,,"['tanks in world war one', 'world war one aircraft', 'tank museums saumur fort knox aberdeen ottawa moscow st petersburg', 'battleships tank museums', 'world war two aircraft']",o,"Tank Museums, Saumur Fort Knox Aberdeen Ottawa Moscow St. Petersburg, Warships, Tanks, World War I and II Aircraft, Books, Games, Essays, Travel","History enthusiasts, Educators, Military enthusiasts, Individuals interested in World War I and II history, Aviation, Tank museums",United States,[],['info@usaww1.com'],[],[],N,344.0
peachofmind.com,success,,"['halloween costumes for babies', 'baby halloween decorations on a budget', 'winnie the pooh baby shower decorations', 'easy ways to roast broccoli', 'lemon clothing for summer']",o,"clothing, home decor, dinnerware, accessories","Mothers and expectant mothers seeking ideas for baby showers, Halloween costumes, and parenting tips.",Georgia,[],[],[],[],N,2240.0
peachonaleash.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachorchardapartments.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpaperdesign.com,success,,"['wedding invitation design', 'small business branding services', 'custom stationery design', 'unique wedding stationery', 'modern branding solutions']",o,"Custom stationery, Branding, Print shop services, Wedding invitation design, Small business branding","Creative brides and grooms seeking unique wedding stationery, as well as small business owners looking for modern branding solutions.",United States,[],[],[],[],N,101.0
peachperfectskincare.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpitgym.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachpitmusic.com,success,,"['indie rock music peach pit', 'magpie album peach pit', 'new indie rock band peach pit', 'peach pit tour dates', 'peach pit merchandise online']",o,"Music, Merchandise, Touring",Young adults aged 18-35 interested in indie rock music and attending concerts and festivals.,United States,[],[],[],[],N,0.0
peachpitpotteryshop.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peach-pump.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachstatebasketball.com,success,,"['basketball showcases in atlanta', 'high school basketball tournaments', ""college recruiting services for women's basketball"", 'brand marketing for high school athletes', ""women's grassroots basketball alliance""]",o,"Showcases, Tournaments, Scouting Reports, Evaluation Reports, Film Room Evals, Brand Marketing, College Recruiting Services","Women's high school and college basketball players, parents, coaches, and scouts seeking exposure and recruitment opportunities.",United States,[],[],[],[],N,1040.0
peachstatecandlesupply.com,error,too many values to unpack (expected 2),,,,,,,,,,,
peachstateco.com,success,,"['civil construction services', 'road construction companies near me', 'licensed utility contractors', 'concrete installation specialists', 'civil site development services']",o,"Road construction, Concrete Installation, Civil Site Development, Civil Construction Services","Businesses and government agencies seeking reliable civil construction services in the Covington, Georgia area.","Covington, Georgia",[],"['info@peachstateco.com', '770-788-6363info@peachstateco.com']",[''],[],N,8.0
