url,status,error,keywords,business_name,products_services,target_audience,headers,emails,phones
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fdb404be3e0>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,
sanjosebengalcats.com,success,,"['bengal cats for sale', 'exotic cat breeders near me', 'san jose bengal cats', 'bengal kittens price', 'buy bengal cat online']",San Jose Bengal Cats,"{'main_offering': 'Bengal Cat Breeding and Sales', 'detailed_offerings': ['Bengal Kittens for Sale', 'Adult Bengal Cats for Sale'], 'unique_features': ['2 Year Genetic Health Guarantee', 'Pedigree Paperwork and Health Check by Licensed Veterinarian']}","{'demographics': 'Cat owners or potential cat owners, especially those interested in exotic breeds', 'interests': ['Bengal cats', 'exotic pets', 'cat breeding', 'pet ownership'], 'behaviors': ['Looking for a new pet to adopt', 'Researching Bengal cat breeders and sales']}",[],['rene@sanjosebengalcats.com'],[]
peachmarketplace.com,success,,"['halloween shirts', 'fall clothing women', 'leopard pumpkin tee', 'holiday home decor', 'embroidered accessories']",Peach Marketplace,"{'main_offering': 'Home and Holiday Accessories', 'detailed_offerings': ['Graphic Tees', 'Embroidery Accessories'], 'unique_features': ['Customizable products', 'High-quality materials']}","{'demographics': 'Women aged 25-45, middle to upper-middle-class households', 'interests': ['Home decor and furniture', 'Holiday-themed clothing and accessories'], 'behaviors': ['Regularly shop online for home and holiday items', 'Active on social media platforms such as Instagram and Facebook']}",[],[],[]
peachmcintyre.com,success,,"['social media content creator training', 'online business courses for women', 'credit repair kit DIY', 'writing a book with e-guide', 'facebook reels creation guide']",Peach McIntyre Inc.,"{'main_offering': 'Social Media Content Creator Training and Mentorship Program', 'detailed_offerings': ['Online Business Courses for Women', 'Credit Repair Kit DIY Solution'], 'unique_features': ['Turn the Internet into Income', 'Write a Book with Peach E-Guide']}","{'demographics': 'Women aged 25-45, interested in online business and entrepreneurship', 'interests': ['Social media marketing', 'Online business and entrepreneurship'], 'behaviors': ['Taking online courses for skill development', 'Interested in credit repair and financial management']}",[],"['support@peachmcintyre.com', 'Inc.813.797.1396support@peachmcintyre.com']",['']
peachmedical.com,success,,"['point of care testing products', 'over the counter antigen test kits', 'covid 19 home test kit', 'pandemic supply management software', 'clinical diagnostic equipment suppliers']",Peach Medical,"{'main_offering': 'Point of Care Testing Products and Supplies', 'detailed_offerings': ['COVID-19 Home Test Kits', 'Over-the-Counter Antigen Test Kits', 'Clinical Diagnostic Equipment'], 'unique_features': ['Rapid Diagnostic Testing at the Site of Patient Care', 'Easy, At-Home Testing for Quick Detection of Various Infections']}","{'demographics': 'Healthcare Professionals, Clinics, and Hospitals', 'interests': ['Point of Care Testing', 'COVID-19 Testing', 'Clinical Diagnostic Equipment'], 'behaviors': ['Regularly Purchase Medical Supplies Online', 'Prioritize Rapid and Accurate Diagnostic Results']}",[],[],[]
peachmeleggings.com,success,,"['free shipping leggings', 'high waist leggings for women', 'affordable athleisure wear', 'leggings sets online shopping', 'peach me leggings brand']",Peach Me Leggings,"{'main_offering': 'Leggings and Athleisure Wear', 'detailed_offerings': ['Leggings Sets', 'Shorts', 'Flare Pants', 'Skirts'], 'unique_features': ['Free Shipping in the U.S.', 'Shop Now, Pay Later with AfterPay & ShopPay']}","{'demographics': 'Women aged 18-45', 'interests': ['Fashion', 'Athleisure Wear', 'Leggings', 'Shopping'], 'behaviors': ['Frequent online shoppers', 'Active on social media platforms like Facebook, Instagram, and TikTok']}",[],[],[]
peachmode.com,success,,"['indian sarees online', 'kurtis for women', 'salwar suits wholesale', 'authentic drapes online store', 'traditional indian clothing']",Peachmode,"{'main_offering': 'Indian ethnic wear', 'detailed_offerings': ['Sarees', 'Salwar Suits', 'Kurtis'], 'unique_features': ['Authentic drapes from India', 'Wide range of traditional Indian clothing']}","{'demographics': 'Women aged 25-50, middle to upper-middle-class, interested in traditional Indian wear', 'interests': ['Indian fashion', 'Traditional clothing', 'Cultural heritage'], 'behaviors': ['Regularly purchases traditional Indian wear online', 'Values authenticity and quality of products']}",[],['contact@peachmode.com'],[]
peachmodern.com,success,,"['vintage art collectibles online', 'mid century modern furniture sale', 'unique decorative art pieces', 'high-end home decor items', 'luxury collectible art for sale']",Peach Modern,"{'main_offering': 'Unique collection of furniture, art and collectibles', 'detailed_offerings': ['vintage art and collectibles', 'mid century modern furniture'], 'unique_features': ['handmade and one-of-a-kind pieces', 'high-end home decor items']}","{'demographics': 'Affluent individuals aged 35-55 with a focus on design enthusiasts, art collectors, and luxury homeowners', 'interests': ['Art and design', 'Home decor and interior design'], 'behaviors': ['Regularly purchases high-end home decor items', 'Active online shoppers seeking unique and exclusive products']}",[],[],[]
peachmountain.com,success,,"['world war ii aircraft', 'tank museums saumur fort knox aberdeen ottawa moscow st petersburg', 'usa aviation world war one', 'warships tanks world war i ii and cold war', 'military history essays books games travel']",Peachmountain.com,"{'main_offering': 'Military History Research and Education Platform', 'detailed_offerings': ['Tank Museum Directory', 'World War I and II Aircraft Database'], 'unique_features': ['Comprehensive collection of military history essays', 'Travel guides to historical fortifications and museums']}","{'demographics': 'Adults aged 25-55, interests in military history, education, research', 'interests': ['Military History', 'WWI and WWII Aircraft and Tanks', 'Fortifications and Museums'], 'behaviors': ['Regularly reads military history books and articles', 'Plays strategy games related to WWI and II']}",[],['info@usaww1.com'],[]
peachofmind.com,success,,"['halloween costumes for babies', 'baby halloween decorations on a budget', 'winne the pooh baby shower ideas', 'easy ways to roast broccoli', 'summer clothing for women']",Peach of Mind,"{'main_offering': 'Lifestyle blog covering parenting, home decor, and fashion', 'detailed_offerings': [""Baby and kids' product reviews and recommendations"", 'Home decor and organization tips'], 'unique_features': ['Focus on affordable and budget-friendly products', 'Personalized product recommendations for readers']}","{'demographics': 'Women aged 25-45 with young children or expecting a child', 'interests': ['Parenting and childcare', 'Home decor and organization'], 'behaviors': ['Regularly shops online for baby and home products', 'Active on social media platforms such as Instagram and Pinterest']}",[],[],[]
